fullname,raceChar,pleaSuccess,n,prop
Boland Bernard E.,White,0,40,0.17937219730941703
Boland Bernard E.,White,1,183,0.820627802690583
Bollman Suzanne,Non-white,0,17,0.38636363636363635
Bollman Suzanne,Non-white,1,27,0.6136363636363636
Bollman Suzanne,White,0,51,0.19101123595505617
Bollman Suzanne,White,1,216,0.8089887640449438
Borene Bernard,White,1,1,1
Borene Bernard E.,Non-white,0,33,0.3
Borene Bernard E.,Non-white,1,77,0.7
Borene Bernard E.,White,0,67,0.195906432748538
Borene Bernard E.,White,1,275,0.804093567251462
Borgen Lisa N.,Non-white,0,52,0.35374149659863946
Borgen Lisa N.,Non-white,1,95,0.6462585034013606
Borgen Lisa N.,White,0,65,0.19817073170731708
Borgen Lisa N.,White,1,263,0.801829268292683
Bostrack Nancy L.,Non-white,0,3,0.1875
Bostrack Nancy L.,Non-white,1,13,0.8125
Bostrack Nancy L.,White,0,12,0.2033898305084746
Bostrack Nancy L.,White,1,47,0.7966101694915254
Braaten Eric J.,Non-white,0,9,0.1836734693877551
Braaten Eric J.,Non-white,1,40,0.8163265306122449
Braaten Eric J.,White,0,37,0.23125
Braaten Eric J.,White,1,123,0.76875
Brandt Gina M.,Non-white,0,272,0.36026490066225164
Brandt Gina M.,Non-white,1,483,0.6397350993377483
Brandt Gina M.,White,0,75,0.22123893805309736
Brandt Gina M.,White,1,264,0.7787610619469026
Bransford Tanya M.,Non-white,0,319,0.3006597549481621
Bransford Tanya M.,Non-white,1,742,0.6993402450518379
Bransford Tanya M.,White,0,127,0.2138047138047138
Bransford Tanya M.,White,1,467,0.7861952861952862
Brasel Nancy,Non-white,0,41,0.37272727272727274
Brasel Nancy,Non-white,1,69,0.6272727272727273
Brasel Nancy,White,0,11,0.2972972972972973
Brasel Nancy,White,1,26,0.7027027027027027
Bratvold Diane B.,Non-white,1,4,1
Broberg James E.,Non-white,0,23,0.20175438596491227
Broberg James E.,Non-white,1,91,0.7982456140350878
Broberg James E.,White,0,64,0.18991097922848665
Broberg James E.,White,1,273,0.8100890207715133
Brosnahan Amy R.,Non-white,0,8,0.34782608695652173
Brosnahan Amy R.,Non-white,1,15,0.6521739130434783
Brosnahan Amy R.,White,0,62,0.20394736842105263
Brosnahan Amy R.,White,1,242,0.7960526315789473
Brown Suzanne M.,Non-white,1,3,1
Brown Suzanne M.,White,0,1,0.25
Brown Suzanne M.,White,1,3,0.75
Browne Michael K.,Non-white,0,3,0.6
Browne Michael K.,Non-white,1,2,0.4
Browne Michael K.,White,0,1,0.5
Browne Michael K.,White,1,1,0.5
Bryan Jeffrey M.,Non-white,0,55,0.30726256983240224
Bryan Jeffrey M.,Non-white,1,124,0.6927374301675978
Bryan Jeffrey M.,White,0,23,0.2169811320754717
Bryan Jeffrey M.,White,1,83,0.78301886792452835
Buccicone Brianne J.,Non-white,0,14,0.4666666666666667
Buccicone Brianne J.,Non-white,1,16,0.5333333333333333
Buccicone Brianne J.,White,0,28,0.2545454545454545
Buccicone Brianne J.,White,1,82,0.7454545454545455
Bueltel Joseph A.,Non-white,0,111,0.3801369863013699
Bueltel Joseph A.,Non-white,1,181,0.6198630136986302
Bueltel Joseph A.,White,0,175,0.26435045317220546
Bueltel Joseph A.,White,1,487,0.7356495468277946
Burke Kevin S.,Non-white,0,142,0.27897838899803534
Burke Kevin S.,Non-white,1,367,0.7210216110019646
Burke Kevin S.,White,0,59,0.19536423841059603
Burke Kevin S.,White,1,243,0.804635761589404
Burke Susan,Non-white,1,1,1
Burke Susan N.,Non-white,0,62,0.23846153846153847
Burke Susan N.,Non-white,1,198,0.7615384615384615
Burke Susan N.,White,0,41,0.2342857142857143
Burke Susan N.,White,1,134,0.7657142857142857
Burns Michael E.,Non-white,1,2,1
Burns Michael E.,White,1,2,1
Bush Leland O.,Non-white,0,54,0.25961538461538464
Bush Leland O.,Non-white,1,154,0.7403846153846154
Bush Leland O.,White,0,81,0.1772428884026258
Bush Leland O.,White,1,376,0.8227571115973742
Bush Philip D.,Non-white,0,309,0.3391877058177827
Bush Philip D.,Non-white,1,602,0.6608122941822173
Bush Philip D.,White,0,88,0.18487394957983194
Bush Philip D.,White,1,388,0.8151260504201681
Bush Phillip,Non-white,1,1,1
Buytendorp Nancy L.,Non-white,0,28,0.2413793103448276
Buytendorp Nancy L.,Non-white,1,88,0.7586206896551724
Buytendorp Nancy L.,White,0,49,0.13687150837988826
Buytendorp Nancy L.,White,1,309,0.8631284916201117
Cahill Peter A.,Non-white,0,157,0.306640625
Cahill Peter A.,Non-white,1,355,0.693359375
Cahill Peter A.,White,0,68,0.26356589147286824
Cahill Peter A.,White,1,190,0.7364341085271318
Cahill Steven J.,Non-white,0,57,0.2688679245283019
Cahill Steven J.,Non-white,1,155,0.7311320754716981
Cahill Steven J.,White,0,78,0.20526315789473684
Cahill Steven J.,White,1,302,0.7947368421052632
Cain Janet L. Barke,Non-white,0,12,0.17647058823529413
Cain Janet L. Barke,Non-white,1,56,0.8235294117647058
Cain Janet L. Barke,White,0,37,0.16444444444444445
Cain Janet L. Barke,White,1,188,0.8355555555555556
Cajacob John T.,Non-white,0,46,0.39316239316239315
Cajacob John T.,Non-white,1,71,0.6068376068376068
Cajacob John T.,White,0,56,0.19444444444444445
Cajacob John T.,White,1,232,0.8055555555555556
Caligiuri Hilary L.,Non-white,0,127,0.3944099378881988
Caligiuri Hilary L.,Non-white,1,195,0.6055900621118012
Caligiuri Hilary L.,White,0,35,0.21604938271604937
Caligiuri Hilary L.,White,1,127,0.7839506172839507
Calson Jay D.,White,0,1,1
Campbell James M.,Non-white,0,35,0.21084337349397592
Campbell James M.,Non-white,1,131,0.7891566265060241
Campbell James M.,White,0,34,0.2138364779874214
Campbell James M.,White,1,125,0.7861635220125787
Carlson Jay D.,Non-white,0,105,0.3431372549019608
Carlson Jay D.,Non-white,1,201,0.6568627450980392
Carlson Jay D.,White,0,154,0.2636986301369863
Carlson Jay D.,White,1,430,0.7363013698630136
Carlson Mary E.,Non-white,0,8,0.2222222222222222
Carlson Mary E.,Non-white,1,28,0.7777777777777778
Carlson Mary E.,White,0,16,0.18604651162790697
Carlson Mary E.,White,1,70,0.813953488372093
Carolan Robert F.,Non-white,0,30,0.2222222222222222
Carolan Robert F.,Non-white,1,105,0.7777777777777778
Carolan Robert F.,White,0,37,0.15677966101694915
Carolan Robert F.,White,1,199,0.8432203389830508
Carrott Ann L.,Non-white,0,19,0.296875
Carrott Ann L.,Non-white,1,45,0.703125
Carrott Ann L.,White,0,106,0.24708624708624707
Carrott Ann L.,White,1,323,0.752913752913753
Carruthers Phillip,Non-white,0,23,0.35384615384615387
Carruthers Phillip,Non-white,1,42,0.6461538461538462
Carruthers Phillip,White,0,11,0.3548387096774194
Carruthers Phillip,White,1,20,0.6451612903225806
Carter Joseph T.,Non-white,0,72,0.24324324324324326
Carter Joseph T.,Non-white,1,224,0.7567567567567568
Carter Joseph T.,White,0,95,0.18518518518518517
Carter Joseph T.,White,1,418,0.8148148148148148
Casey Frederick,White,1,1,1
Casey Frederick J.,Non-white,0,9,0.2647058823529412
Casey Frederick J.,Non-white,1,25,0.7352941176470589
Casey Frederick J.,White,0,60,0.2575107296137339
Casey Frederick J.,White,1,173,0.7424892703862661
Casey Freserick,White,1,1,1
Cashman William J.,Non-white,0,55,0.3333333333333333
Cashman William J.,Non-white,1,110,0.6666666666666666
Cashman William J.,White,0,90,0.2564102564102564
Cashman William J.,White,1,261,0.7435897435897436
Cass James,Non-white,1,1,1
Cass John,White,0,1,1
Cass John  E.,Non-white,0,24,0.3157894736842105
Cass John  E.,Non-white,1,52,0.6842105263157895
Cass John  E.,White,0,53,0.24311926605504589
Cass John  E.,White,1,165,0.7568807339449541
Cass John E.,White,0,1,1
Castro Leonardo,Non-white,0,233,0.33285714285714285
Castro Leonardo,Non-white,1,467,0.6671428571428571
Castro Leonardo,White,0,84,0.22702702702702704
Castro Leonardo,White,1,286,0.772972972972973
Challeen Dennis,White,1,1,1
Challeen Dennis A.,Non-white,1,1,1
Challeen Dennis A.,White,1,4,1
Chandler Heidi M.,Non-white,0,10,0.19230769230769232
Chandler Heidi M.,Non-white,1,42,0.8076923076923077
Chandler Heidi M.,White,0,36,0.21686746987951808
Chandler Heidi M.,White,1,130,0.7831325301204819
Chase Joseph F.,Non-white,0,232,0.38666666666666666
Chase Joseph F.,Non-white,1,368,0.6133333333333333
Chase Joseph F.,White,0,235,0.25460455037919827
Chase Joseph F.,White,1,688,0.7453954496208017
Chesterman John A.,Non-white,0,26,0.2653061224489796
Chesterman John A.,Non-white,1,72,0.7346938775510204
Chesterman John A.,White,0,44,0.17391304347826086
Chesterman John A.,White,1,209,0.8260869565217391
